run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
296,1000,net_em1,235089.0,172922.201172,225988.0,159321.210938
296,2000,net_em1,219876.0,148468.063477,225327.0,157379.75293
296,3000,net_em1,265514.0,186868.460938,245771.0,157287.806641
296,4000,net_em1,239135.0,185433.995117,220033.0,155092.360352
296,5000,net_em1,224227.0,167652.869141,208890.0,142961.258789
296,6000,net_em1,227323.0,178742.900391,211652.0,154711.421875
296,7000,net_em1,234806.0,185545.052734,225122.0,170166.585938
296,8000,net_em1,193971.0,121346.953125,185494.0,108042.685547
296,9000,net_em1,223748.0,161609.744141,213448.0,145247.307617
296,10000,net_em1,238103.0,182762.694336,197243.0,118887.758789
296,11000,net_em1,226320.0,158322.666016,211576.0,134282.396484
296,12000,net_em1,210065.0,142995.896484,220659.0,157076.87207
296,13000,net_em1,222888.0,162393.120117,212336.0,143719.944336
296,14000,net_em1,228873.0,165228.324219,230386.0,166315.628906
296,15000,net_em1,224025.0,150532.510742,225360.0,152424.523438
296,16000,net_em1,253287.0,204030.46582,226250.0,161180.991211
296,17000,net_em1,250649.0,196526.125977,221768.0,150156.719727
296,18000,net_em1,226764.0,149499.230469,218456.0,135180.124023
296,19000,net_em1,230191.0,164003.533203,225555.0,154707.739258
296,20000,net_em1,145238.0,105332.538086,141377.0,97824.9423828
296,21000,net_em1,12795.0,14552.6367188,8000.0,7034.39746094
296,22000,net_em1,97588.0,78885.6494141,99594.0,82407.7373047
296,23000,net_em1,239713.0,178895.751953,220194.0,147516.144531
296,24000,net_em1,173251.0,142765.8125,155652.0,114908.299805
296,25000,net_em1,159536.0,111846.100586,144105.0,86714.546875
296,26000,net_em1,247455.0,186511.078125,223794.0,148153.615234
296,27000,net_em1,196765.0,120694.014648,190640.0,109260.569336
296,28000,net_em1,216216.0,146362.820312,196588.0,114235.410156
296,29000,net_em1,220582.0,153713.370117,206456.0,130568.850586
296,30000,net_em1,206089.0,168430.418945,195130.0,150176.025391
296,31000,net_em1,254474.0,211452.619141,227241.0,166766.0625
296,32000,net_em1,229726.0,179586.520508,195609.0,126529.963867
296,33000,net_em1,260741.0,216476.59668,228616.0,164936.774414
296,34000,net_em1,190065.0,139045.344727,172621.0,111155.847656
296,35000,net_em1,28686.0,12472.0214844,35188.0,22209.1953125
296,36000,net_em1,11211.0,9866.71386719,15112.0,15775.609375
296,37000,net_em1,86301.0,50573.8613281,93361.0,61607.1953125
296,38000,net_em1,34026.0,25310.6298828,29559.0,19078.4599609
296,39000,net_em1,10572.0,3712.64746094,10113.0,2984.03613281
296,40000,net_em1,7606.0,6422.24121094,5895.0,3695.32910156
296,41000,net_em1,2494.0,1307.78613281,2902.0,1879.28808594
296,42000,net_em1,2265.0,457.181640625,2670.0,1014.90625
296,43000,net_em1,22974.0,20677.5810547,25045.0,23634.4667969
296,44000,net_em1,14412.0,7691.85351562,13646.0,6233.98144531
296,45000,net_em1,20653.0,15204.0830078,18300.0,11250.9453125
296,46000,net_em1,8879.0,4648.03710938,7183.0,1762.48144531
296,47000,net_em1,469.0,363.987304688,254.0,38.6748046875
296,48000,net_em1,42546.0,31884.9492188,44245.0,34211.7060547
296,49000,net_em1,80174.0,65074.8876953,81692.0,66185.7158203
296,50000,net_em1,48612.0,28964.2460938,44220.0,21768.9335938
296,51000,net_em1,94367.0,64676.2255859,94649.0,65251.1142578
296,52000,net_em1,84812.0,57488.3740234,81895.0,52677.0966797
296,53000,net_em1,114956.0,79043.7529297,102507.0,60715.6376953
296,54000,net_em1,58001.0,46072.8134766,41130.0,20241.3378906
296,55000,net_em1,8907.0,2731.22949219,8691.0,2229.21191406
296,56000,net_em1,87922.0,82274.4599609,80929.0,71394.8535156
296,57000,net_em1,47801.0,34452.7519531,47562.0,34086.5683594
296,58000,net_em1,31711.0,20974.9375,29899.0,17995.1064453
296,59000,net_em1,55716.0,36183.6298828,59946.0,42018.0009766
296,60000,net_em1,53068.0,18958.5390625,61055.0,31095.4990234
296,61000,net_em1,223349.0,165860.799805,220273.0,159763.189453
296,62000,net_em1,186954.0,133743.05957,186285.0,131928.267578
296,63000,net_em1,252665.0,198860.356445,244046.0,184179.826172
296,64000,net_em1,250886.0,193705.108398,231817.0,162983.980469
296,65000,net_em1,224677.0,189264.15332,188043.0,132000.228516
296,66000,net_em1,124685.0,79476.2773438,129601.0,85888.5048828
296,67000,net_em1,243673.0,178301.274414,210455.0,125002.943359
296,68000,net_em1,255453.0,201760.071289,224723.0,152332.890625
296,69000,net_em1,248676.0,204210.192383,214056.0,149374.893555
296,70000,net_em1,206587.0,145659.44043,187341.0,113518.962891
296,71000,net_em1,257967.0,213977.522461,222563.0,158908.59668
296,72000,net_em1,251389.0,197034.05957,224690.0,152883.970703
296,73000,net_em1,270596.0,216830.757812,223701.0,142611.556641
296,74000,net_em1,146927.0,109936.582031,141942.0,102037.18457
296,75000,net_em1,100550.0,82889.0126953,88461.0,63846.75
296,76000,net_em1,122909.0,90875.9804688,113749.0,77704.4365234
296,77000,net_em1,225915.0,154185.110352,227889.0,156206.634766
296,78000,net_em1,109366.0,90338.4628906,91095.0,61671.5107422
296,79000,net_em1,107328.0,71510.0244141,107140.0,70849.8359375
296,80000,net_em1,165233.0,103903.227539,167043.0,105787.899414
296,81000,net_em1,201554.0,147682.884766,184793.0,121283.901367
296,82000,net_em1,232521.0,165449.640625,218572.0,141635.083008
296,83000,net_em1,149459.0,103784.927734,134390.0,78811.3007812
296,84000,net_em1,132893.0,106252.603516,140679.0,118545.980469
296,85000,net_em1,94628.0,78053.3798828,89425.0,70266.5390625
296,86000,net_em1,101346.0,72399.59375,105203.0,78563.0664062
296,87000,net_em1,82251.0,56578.7050781,73439.0,42381.7705078
296,88000,net_em1,215901.0,149953.307617,226644.0,164873.154297
296,89000,net_em1,231443.0,168780.808594,223733.0,156536.930664
296,90000,net_em1,73234.0,57610.9033203,66142.0,47198.6748047
296,91000,net_em1,185824.0,117673.828125,182744.0,111971.084961
296,92000,net_em1,247223.0,189514.974609,232935.0,166300.950195
296,93000,net_em1,256325.0,214612.791992,207077.0,135872.557617
296,94000,net_em1,211034.0,145092.460938,192272.0,115446.369141
296,95000,net_em1,265305.0,201436.171875,244508.0,168123.969727
296,96000,net_em1,134705.0,73228.4453125,157151.0,107195.202148
296,97000,net_em1,218581.0,153788.688477,221230.0,155456.668945
296,98000,net_em1,240157.0,174669.069336,221403.0,144579.189453
296,99000,net_em1,244266.0,176554.743164,222087.0,139898.275391
296,100000,net_em1,240233.0,174541.557617,228392.0,154265.166016
296,101000,net_em1,222643.0,162775.676758,197916.0,122714.773438
296,102000,net_em1,181171.0,122093.003906,169948.0,104535.064453
296,103000,net_em1,179757.0,123571.446289,187725.0,134770.182617
296,104000,net_em1,229784.0,168896.28418,217185.0,147487.383789
296,105000,net_em1,103688.0,75096.5673828,89775.0,52866.2216797
296,106000,net_em1,90438.0,73273.5332031,60372.0,26700.5576172
296,107000,net_em1,28056.0,23224.5439453,17579.0,7268.98925781
